hash,llm,benchmarks,classifier,calibrate,balance_classes,features,spearman_rho,mae
45482407c913,qwen3-8b,gsm-test,random_forest,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8666666666666665,0.38201733365067503
e6ae41d8da7c,qwen3-8b,gsm-test,random_forest,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8545454545454544,0.38158614594269713
16c70670a5d8,qwen3-8b,gsm-test,random_forest,True,True,max se_sum nll_sum,0.8909090909090909,0.37994706213294227
e69e026465af,qwen3-8b,gsm-test,random_forest,True,True,se_sum,0.9151515151515152,0.3855325930256245
b040db1b7f1b,qwen3-8b,gsm-test,random_forest,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.7575757575757575,0.3486996697219457
ec46e5e7672a,qwen3-8b,gsm-test,random_forest,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7454545454545454,0.34408961146815215
38512df47e9c,qwen3-8b,gsm-test,random_forest,True,False,max se_sum nll_sum,0.8424242424242423,0.3578640345877945
1ad7965f04f3,qwen3-8b,gsm-test,random_forest,True,False,se_sum,0.8303030303030302,0.3506495762229055
b5377ed166d0,qwen3-8b,gsm-test,random_forest,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.9030303030303028,0.22931292197844888
3455aee3aa6d,qwen3-8b,gsm-test,random_forest,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8787878787878788,0.21410152866695395
0cedbc7a6a53,qwen3-8b,gsm-test,random_forest,False,True,max se_sum nll_sum,0.8909090909090909,0.28315338579297683
53f2e75958d6,qwen3-8b,gsm-test,random_forest,False,True,se_sum,0.8909090909090909,0.26672980843512656
659cc8a206b8,qwen3-8b,gsm-test,random_forest,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8666666666666665,0.3419052842756115
830b8105f5d7,qwen3-8b,gsm-test,random_forest,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8424242424242423,0.34900016474336504
178578b78317,qwen3-8b,gsm-test,random_forest,False,False,max se_sum nll_sum,0.8909090909090909,0.362636995105529
e8ab5e027406,qwen3-8b,gsm-test,random_forest,False,False,se_sum,0.8909090909090909,0.3558259144492088
e288933247da,qwen3-8b,gsm-test,logistic_regression,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8303030303030302,0.2961232126499029
9672eaeb0a98,qwen3-8b,gsm-test,logistic_regression,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.7575757575757575,0.32677404941480337
1b679709402e,qwen3-8b,gsm-test,logistic_regression,True,True,max se_sum nll_sum,0.8787878787878788,0.3493620132515806
0c01bba7df3f,qwen3-8b,gsm-test,logistic_regression,True,True,se_sum,0.8787878787878788,0.34628723775849835
336e346f660c,qwen3-8b,gsm-test,logistic_regression,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8303030303030302,0.28766358650171225
9ee97f2cd2de,qwen3-8b,gsm-test,logistic_regression,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8060606060606059,0.3251453605900975
ebbf868b0709,qwen3-8b,gsm-test,logistic_regression,True,False,max se_sum nll_sum,0.8787878787878788,0.34967476764814037
c512f7f9a952,qwen3-8b,gsm-test,logistic_regression,True,False,se_sum,0.8787878787878788,0.34628723899138325
6cd7fba5c75c,qwen3-8b,gsm-test,logistic_regression,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8545454545454544,0.14466954572436266
e7d17753428e,qwen3-8b,gsm-test,logistic_regression,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8303030303030302,0.1655149914810769
b5037bab155e,qwen3-8b,gsm-test,logistic_regression,False,True,max se_sum nll_sum,0.8909090909090909,0.16064545346526082
d9a3a8b3c77a,qwen3-8b,gsm-test,logistic_regression,False,True,se_sum,0.9151515151515152,0.1609004305323874
d9bd641ab2eb,qwen3-8b,gsm-test,logistic_regression,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8060606060606059,0.26325468273982044
54163c1544df,qwen3-8b,gsm-test,logistic_regression,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8060606060606059,0.30948445921255474
01bf7c30a3f4,qwen3-8b,gsm-test,logistic_regression,False,False,max se_sum nll_sum,0.8787878787878788,0.34313513381778254
61f75caef345,qwen3-8b,gsm-test,logistic_regression,False,False,se_sum,0.8787878787878788,0.3422312277030771
792317cb2608,qwen3-8b,gsm-test,neural_network,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8909090909090909,0.1691907247374132
238622d9edf5,qwen3-8b,gsm-test,neural_network,True,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8545454545454544,0.1836017672755325
bc7f5febdca8,qwen3-8b,gsm-test,neural_network,True,True,max se_sum nll_sum,0.9151515151515152,0.16905890863643983
cb7dbef74080,qwen3-8b,gsm-test,neural_network,True,True,se_sum,0.9515151515151514,0.17853711410098466
9419b644125f,qwen3-8b,gsm-test,neural_network,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8424242424242423,0.35731590737068386
d384f56c2a2e,qwen3-8b,gsm-test,neural_network,True,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8424242424242423,0.3861263021782409
e93a1999a61e,qwen3-8b,gsm-test,neural_network,True,False,max se_sum nll_sum,0.8909090909090909,0.368881280353955
b8d7c01f4b19,qwen3-8b,gsm-test,neural_network,True,False,se_sum,0.8787878787878788,0.3607567733905439
1942a49cc45c,qwen3-8b,gsm-test,neural_network,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8909090909090909,0.1677682547704347
069511e764fe,qwen3-8b,gsm-test,neural_network,False,True,mean std max q10 q25 q50 q75 q90 skewness kurtosis,0.8545454545454544,0.1820129623095737
2e2adaf76201,qwen3-8b,gsm-test,neural_network,False,True,max se_sum nll_sum,0.9151515151515152,0.16420335969135627
16cf17c68ae1,qwen3-8b,gsm-test,neural_network,False,True,se_sum,0.9515151515151514,0.19523603072569234
0f42a2d92d48,qwen3-8b,gsm-test,neural_network,False,False,mean std max q10 q25 q50 q75 q90 skewness kurtosis se_sum nll_avg nll_max nll_sum lntp mtp ppl,0.8787878787878788,0.18451512357399327
